Bundesland;Insgesamt_20171231;Ärztlicher Dienst_20171231;Nicht-ärztlicher Dienst_20171231;Auszubildende_20171231;Insgesamt_2017_Avg;Ärztlicher Dienst_2017_Avg;Nicht-ärztlicher Dienst_2017_Avg
Deutschland; 1.237.646 ; 186.021 ; 1.051.625 ; 84.186 ; 894.400 ; 161.208 ; 733.193 
Baden-Württemberg; 163.308 ; 22.991 ; 140.317 ; 10.953 ; 113.905 ; 19.681 ; 94.224 
Bayern; 201.859 ; 28.847 ; 173.012 ; 12.950 ; 144.253 ; 25.041 ; 119.212 
Berlin; 52.631 ; 9.661 ; 42.970 ; 2.753 ; 41.034 ; 8.457 ; 32.577 
Brandenburg; 29.099 ; 5.018 ; 24.081 ; 2.147 ; 22.490 ; 4.303 ; 18.187 
Bremen; 12.199 ; 2.089 ; 10.110 ; 646 ; 8.610 ; 1.716 ; 6.894 
Hamburg; 33.358 ; 6.255 ; 27.103 ; 2.067 ; 23.821 ; 5.150 ; 18.671 
Hessen; 84.911 ; 12.756 ; 72.155 ; 5.729 ; 61.266 ; 11.086 ; 50.180 
Mecklenburg-Vorpommern; 24.138 ; 3.859 ; 20.279 ; 1.891 ; 19.101 ; 3.534 ; 15.567 
Niedersachsen; 108.494 ; 15.385 ; 93.109 ; 8.191 ; 76.755 ; 13.213 ; 63.542 
Nordrhein-Westfalen; 283.309 ; 42.224 ; 241.085 ; 20.435 ; 202.452 ; 37.138 ; 165.313 
Rheinland-Pfalz; 63.043 ; 8.298 ; 54.745 ; 4.830 ; 42.867 ; 7.053 ; 35.814 
Saarland ; 18.617 ; 2.489 ; 16.128 ; 1.771 ; 13.061 ; 2.178 ; 10.884 
Sachsen; 57.419 ; 9.493 ; 47.926 ; 4.236 ; 44.321 ; 8.192 ; 36.129 
Sachsen-Anhalt; 32.037 ; 5.283 ; 26.754 ; 1.839 ; 25.794 ; 4.574 ; 21.220 
Schleswig-Holstein; 40.710 ; 6.136 ; 34.574 ; 1.984 ; 28.404 ; 5.207 ; 23.197 
Thüringen; 32.514 ; 5.237 ; 27.277 ; 1.764 ; 26.267 ; 4.684 ; 21.584 
