plz,DES,NAME,EWZ,EW_M,EW_W,EW_Deutsch,EW_Auslaender,EW_U18,EW_18_29,EW_30_49,EW_50_64,EW_65p
1662,Landkreis,Meißen,247054,121154,125900,244218,2836,34156,29012,66537,54663,62686
2625,Landkreis,Bautzen,315174,155497,159677,312232,2942,43284,37613,84054,71444,78779
2826,Landkreis,Görlitz,269647,131493,138154,265390,4257,35521,31249,67709,62461,72707
2827,Landkreis,Görlitz,269647,131493,138154,265390,4257,35521,31249,67709,62461,72707
2828,Landkreis,Görlitz,269647,131493,138154,265390,4257,35521,31249,67709,62461,72707
4103,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4105,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4107,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4109,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4129,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4155,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4157,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4158,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4159,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4177,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4178,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4179,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4205,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4207,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4209,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4229,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4249,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4275,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4277,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4279,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4288,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4289,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4299,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4315,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4316,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4317,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4318,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4319,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4328,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4329,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4347,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4349,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4356,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
4357,Landkreis,Leipzig,262214,128287,133927,259852,2362,35622,30385,72709,60244,63254
6886,Landkreis,Wittenberg,132994,65065,67929,131796,1198,16201,15456,35143,31991,34203
6888,Landkreis,Wittenberg,132994,65065,67929,131796,1198,16201,15456,35143,31991,34203
6888,Landkreis,Wittenberg,132994,65065,67929,131796,1198,16201,15456,35143,31991,34203
6889,Landkreis,Wittenberg,132994,65065,67929,131796,1198,16201,15456,35143,31991,34203
7973,Landkreis,Greiz,105332,51687,53645,104558,774,13060,11577,27687,25954,27054
8056,Landkreis,Zwickau,335220,162041,173179,331356,3864,42464,41159,86259,76289,89049
8058,Landkreis,Zwickau,335220,162041,173179,331356,3864,42464,41159,86259,76289,89049
8060,Landkreis,Zwickau,335220,162041,173179,331356,3864,42464,41159,86259,76289,89049
8062,Landkreis,Zwickau,335220,162041,173179,331356,3864,42464,41159,86259,76289,89049
8064,Landkreis,Zwickau,335220,162041,173179,331356,3864,42464,41159,86259,76289,89049
8066,Landkreis,Zwickau,335220,162041,173179,331356,3864,42464,41159,86259,76289,89049
17033,Kreisfreie Stadt,Neubrandenburg,64111,30908,33203,63018,1093,8018,10726,16125,15182,14060
17034,Kreisfreie Stadt,Neubrandenburg,64111,30908,33203,63018,1093,8018,10726,16125,15182,14060
17036,Kreisfreie Stadt,Neubrandenburg,64111,30908,33203,63018,1093,8018,10726,16125,15182,14060
17109,Landkreis,Demmin,77572,38600,38973,76877,696,10601,8924,21094,19124,17830
17489,Kreisfreie Stadt,Greifswald,55447,26325,29122,53900,1547,6722,14829,13418,10269,10209
